-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
0.326753f, 2.745117f, 2.808758f, 0.364938f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, 1.268642f, 2.808758f, 1.955967f, -0.360572f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.309659f,
2.185075f, 2.732389f, 0.314025f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, 1.179544f, 2.808758f, 1.892326f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, 0.530405f, 2.770574f,
2.630563f, 0.301296f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.182377f, 2.388727f, 2.808758f, 1.688674f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.386028f, 2.159619f, 2.808758f, 2.363270f,
0.021275f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
0.059460f, 2.808758f, 2.808758f, 0.555861f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.029638f, 2.426911f, 2.808758f, 1.039534f, -0.411485f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, 1.268642f,
2.808758f, 2.808758f, 0.237655f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, 0.352209f, 2.656020f, 2.808758f, 2.808758f, 0.237655f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, 1.115903f, 2.808758f,
2.808758f, 2.363270f, 0.084916f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, 1.115903f, 2.808758f, 2.210531f, -0.195105f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f,
-0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f, -0.424213f
